0000002501;scans;0000000054;DataLength
"header";0000000019;"lines"
"Date";28.11.2022;"Time";10:10:30
"ID";"HAL 7 RC RGA 100 #13407";"Version";4
"Scans";1
"Scan ID";"Mode";"Input";"Scanned";"Start";"Stop";"Increment";"Dwell";"Settle";"RS";"RelSEM"
"Scan 1";"RGA";"Faraday";"mass";10,00;60,00;0,02;100,000%;100,000%;1,000000;1,000000;
"Environment";
"Global";"RGA"
"F1";1;"( 1 = on, 0 = off )"
"F2";0;"( 1 = on, 0 = off )"
"cage";3,0;"V"
"delta-m";0;"%"
"electron-energy";70,0;"V"
"emission";1000,000;"uA"
"focus";-90;"V"
"mass";40,00;"amu"
"mode-change-delay";1000;"ms"
"resolution";0;"%"
"Data";1
"Cycle";"Time";"ms";"mass amu";"Faraday torr"
0000000001;00:00:01;0000001001;  10,00; -1,07499e-10
0000000001;00:00:01;0000001001;  10,02; -2,41874e-10
0000000001;00:00:01;0000001001;  10,04; -8,06240e-11
0000000001;00:00:01;0000001001;  10,06; -8,06240e-11
0000000001;00:00:01;0000001001;  10,08; -8,06240e-11
0000000001;00:00:01;0000001001;  10,10; -1,61249e-10
0000000001;00:00:01;0000001001;  10,12; -1,07499e-10
0000000001;00:00:01;0000001001;  10,14; -2,68749e-11
0000000001;00:00:01;0000001001;  10,16; -1,07499e-10
0000000001;00:00:01;0000001001;  10,18;  0,00000e+00
0000000001;00:00:01;0000001001;  10,20; -2,14999e-10
0000000001;00:00:01;0000001001;  10,22;  0,00000e+00
0000000001;00:00:01;0000001001;  10,24; -1,07499e-10
0000000001;00:00:01;0000001001;  10,26; -1,88124e-10
0000000001;00:00:01;0000001001;  10,28; -1,07499e-10
0000000001;00:00:01;0000001001;  10,30; -5,37499e-11
0000000001;00:00:01;0000001001;  10,32; -8,06240e-11
0000000001;00:00:01;0000001001;  10,34; -2,14999e-10
0000000001;00:00:01;0000001001;  10,36; -8,06240e-11
0000000001;00:00:01;0000001001;  10,38; -1,34374e-10
0000000001;00:00:01;0000001001;  10,40; -8,06240e-11
0000000001;00:00:01;0000001001;  10,42; -1,88124e-10
0000000001;00:00:01;0000001001;  10,44; -2,68749e-11
0000000001;00:00:01;0000001001;  10,46; -1,34374e-10
0000000001;00:00:01;0000001001;  10,48; -1,34374e-10
0000000001;00:00:01;0000001001;  10,50; -1,07499e-10
0000000001;00:00:01;0000001001;  10,52; -8,06240e-11
0000000001;00:00:01;0000001001;  10,54; -2,68749e-11
0000000001;00:00:01;0000001001;  10,56; -1,88124e-10
0000000001;00:00:01;0000001001;  10,58; -1,34374e-10
0000000001;00:00:01;0000001001;  10,60; -2,14999e-10
0000000001;00:00:01;0000001001;  10,62;  5,37499e-11
0000000001;00:00:01;0000001001;  10,64; -1,61249e-10
0000000001;00:00:01;0000001001;  10,66; -8,06240e-11
0000000001;00:00:01;0000001001;  10,68; -5,37499e-11
0000000001;00:00:01;0000001001;  10,70;  2,68749e-11
0000000001;00:00:01;0000001001;  10,72; -1,07499e-10
0000000001;00:00:01;0000001001;  10,74; -2,95624e-10
0000000001;00:00:01;0000001001;  10,76; -5,37499e-11
0000000001;00:00:01;0000001001;  10,78; -8,06240e-11
0000000001;00:00:01;0000001001;  10,80; -5,37499e-11
0000000001;00:00:01;0000001001;  10,82; -1,88124e-10
0000000001;00:00:01;0000001001;  10,84; -2,68749e-11
0000000001;00:00:01;0000001001;  10,86; -1,88124e-10
0000000001;00:00:01;0000001001;  10,88; -1,88124e-10
0000000001;00:00:01;0000001001;  10,90; -1,61249e-10
0000000001;00:00:01;0000001001;  10,92; -8,06240e-11
0000000001;00:00:01;0000001001;  10,94;  5,37499e-11
0000000001;00:00:01;0000001001;  10,96; -1,34374e-10
0000000001;00:00:01;0000001001;  10,98; -1,34374e-10
0000000001;00:00:01;0000001001;  11,00; -2,95624e-10
